,topic_a,topic_b,relation
1666,Electric potential energy,Capacitance,0
1667,Acceleration,Equations of motion,0
1668,Refraction,Temperature,0
1669,Force,Magnetic field,0
1670,Intensity (physics),Distance,0
1671,Amplitude,Wave,0
1672,Position (vector),Equations of motion,0
1673,Physics,Hooke's law,0
1674,Laser,Wavelength,0
1675,Physics,Deformation (engineering),0
1676,Acceleration,Hooke's law,0
1677,Wavelength,Refractive index,0
1678,Field (physics),Distance,0
1679,Light,Snell's law,0
1680,Electromagnetic radiation,Emission spectrum,0
1681,Friction,Length,0
1682,Elastic collision,Inertial frame of reference,0
1683,Joule,Force,0
1684,Velocity,Free fall,0
1685,Snell's law,Dispersion (optics),0
1686,Joule,Ohm,0
1687,Distance,Newton's law of universal gravitation,0
1688,Telescope,Wavelength,0
1689,Inelastic collision,Force,1
1690,Kinetic energy,Collision,0
1691,Physics,Gravity,0
1692,Electric current,Equations of motion,0
1693,Free fall,Gravity,1
1694,Temperature,Electromagnetic spectrum,0
1695,Amplitude,Equations of motion,0
1696,Electromagnetic spectrum,Magnet,1
1697,Refraction,Total internal reflection,0
1698,Distance,Velocity,0
1699,Displacement (vector),Length,0
1700,Photoelectric effect,Wave,0
1701,Distance,Gravitational field,0
1702,Angle of incidence,Refraction,0
1703,Electric current,Electromotive force,0
1704,Reflection (physics),Specular reflection,0
1705,Acceleration,Speed,1
1706,Mass,Kinetic energy,0
1707,Kinetic energy,Mass,1
1708,Electric potential energy,Motion,1
1709,Ohm's law,Electrical resistance and conductance,0
1710,Doppler effect,Distance,1
1711,Light,Electromagnetic radiation,0
1712,Electric potential energy,Electric field,1
1713,Torque,Physics,1
1714,Hertz,Electromagnetic spectrum,0
1715,Motion,Equations of motion,0
1716,Mass,Gravitational field,0
1717,Electric field,Euclidean vector,0
1718,Work (physics),Distance,1
1719,Magnetic field,Euclidean vector,0
1720,Wave,Distance,0
1721,Energy,Shock wave,0
1722,Newton's laws of motion,Physics,1
1723,Real image,Ray (optics),0
1724,Newton's law of universal gravitation,Telescope,0
1725,Lever,Force,1
1726,Distance,Relative velocity,0
1727,Gravitational field,Kilogram,0
1728,Displacement (vector),Electric potential,0
1729,Physics,Electromotive force,0
1730,Standing wave,Energy level,0
1731,Refractive index,Angle of incidence,1
1732,Joule,Metre,0
1733,Magnet,Energy,0
1734,Fracture,Creep (deformation),0
1735,Le Sage's theory of gravitation,Gravity,1
1736,Insulator (electricity),Velocity,0
1737,Inertial frame of reference,Length,0
1738,Intensity (physics),Metre,0
1739,Physics,Work (physics),0
1740,Projectile motion,Displacement (vector),1
1741,Inelastic collision,Le Sage's theory of gravitation,0
1742,Energy,Force,0
1743,Position (vector),Electrostatics,0
1744,Field line,Field (physics),0
1745,Intensity (physics),Kinetic energy,0
1746,Lever,Torque,0
1747,Euclidean vector,Length,0
1748,Dispersion (optics),Distance,0
1749,Electrical conductor,Dielectric,0
1750,Gravity,Projectile motion,0
1751,Mass,Inertial frame of reference,0
1752,Interference (wave propagation),Amplitude,1
1753,Mechanical energy,Work (physics),1
1754,Series and parallel circuits,Electrical resistance and conductance,1
1755,Compass,Direction (geometry),0
1756,Fatigue (material),Force,1
1757,Free fall,Mass,1
1758,Mechanical energy,Potential energy,1
1759,Euclidean vector,Acceleration,0
1760,Magnet,Electric current,0
1761,Tension (physics),Velocity,0
1762,Distance,Mechanical energy,0
1763,Magnet,Emission spectrum,0
1764,Tension (physics),Length,0
1765,Gravitational constant,Distance,1
1766,Magnetism,Velocity,0
1767,Elasticity (physics),Field (physics),0
1768,Force,Deformation (engineering),0
1769,Work (physics),Mass,0
1770,Magnetic field,Distance,0
1771,Electric potential energy,Position (vector),1
1772,Ray (optics),Geometrical optics,0
1773,Electromagnetic spectrum,Physics,1
1774,Physics,Kinetic energy,0
1775,Wave,Diffraction,0
1776,Magnetism,Metre,0
1777,Motion,Snell's law,0
1778,Gravitational acceleration,Free fall,0
1779,Velocity,Distance,1
1780,Wavelength,Electromagnetic spectrum,0
1781,Wavelength,Light,0
1782,Frequency,Standing wave,0
1783,Geometrical optics,Ray (optics),1
1784,Creep (deformation),Physics,1
1785,Physics,Energy level,0
1786,Dielectric,Magnet,0
1787,Gravity,Le Sage's theory of gravitation,0
1788,Motion,Planet,0
1789,Electromagnetic radiation,Power (physics),0
1790,Electric field,Reflection (physics),0
1791,Refracting telescope,Telescope,1
1792,Electron,Electric field,0
1793,Wave,Mirror image,0
1794,Magnet,Electromotive force,0
1795,Force,Distance,0
1796,Projectile motion,Distance,1
1797,Ohm,Ohm's law,0
1798,Speed,Metre,0
1799,Newton's law of universal gravitation,Force,1
1800,Coulomb's law,Electrostatics,0
1801,Inelastic collision,Mechanical energy,0
1802,Distance,Refractive index,0
1803,Physics,Inertial frame of reference,0
1804,Magnet,Torque,0
1805,Physics,Free fall,0
1806,Amplitude,Field (physics),0
1807,Friction,Gravitational acceleration,0
1808,Interference (wave propagation),Metre,0
1809,Amplitude,Displacement (vector),0
1810,Refractive index,Ray (optics),0
1811,Distance,Speed,0
1812,Mirror image,Geometrical optics,0
1813,Force,Contact force,0
1814,Electric current,Dielectric,0
1815,Refraction,Dispersion (optics),0
1816,Wave,Amplitude,0
1817,Mirror image,Wave,1
1818,Gravitational field,Physics,1
1819,Potential energy,Displacement (vector),1
1820,Mechanical energy,Kinetic energy,1
1821,Plasticity (physics),Deformation (engineering),1
1822,Position (vector),Velocity,0
1823,Optical microscope,Light,1
1824,Mass,Inelastic collision,0
1825,Refractive index,Distance,1
1826,Deformation (engineering),Hooke's law,0
1827,Speed,Acceleration,0
1828,Electric field,Electromagnetic spectrum,0
1829,Virtual image,Mirror image,0
1830,Tension (physics),Transverse wave,0
1831,Field (physics),Coulomb,0
1832,Electric potential,Coulomb,0
1833,Elastic collision,Mechanical energy,0
1834,Force,Hooke's law,0
1835,Friction,Le Sage's theory of gravitation,0
1836,Physics,Fatigue (material),0
1837,Elasticity (physics),Distance,0
1838,Dispersion (optics),Geometrical optics,0
1839,Standing wave,Hertz,0
1840,Magnet,Potential energy,0
1841,Light,Laser,0
1842,Velocity,Intensity (physics),0
1843,Electromotive force,Electric field,1
1844,Work (physics),Physics,1
1845,Electromagnetic radiation,Force,1
1846,Energy,Electric potential,0
1847,Velocity,Wavelength,0
1848,Gravity,Newton's law of universal gravitation,0
1849,Temperature,Mass,0
1850,Wavelength,Wave,1
1851,Mass,Length,0
1852,Plasticity (physics),Force,1
1853,Potential energy,Electrostatics,0
1854,Compass,Force,0
1855,Emission spectrum,Physics,1
1856,Newton's laws of motion,Gravitational field,0
1857,Plasticity (physics),Strength of materials,0
1858,Electromotive force,Work (physics),0
1859,Magnetic field,Wavelength,0
1860,Physics,Total internal reflection,0
1861,Electric potential,Position (vector),1
1862,Distance,Motion graphs and derivatives,0
1863,Intensity (physics),Amplitude,0
1864,Equations of motion,Distance,1
1865,Specular reflection,Total internal reflection,0
1866,Light,Refraction,0
1867,Shock wave,Motion,1
1868,Physics,Interference (wave propagation),0
1869,Electromagnetic spectrum,Electron,1
1870,Mechanical energy,Euclidean vector,1
1871,Refracting telescope,Physics,1
1872,Acceleration,Euclidean vector,1
1873,Electromotive force,Magnetism,0
1874,Electric field,Insulator (electricity),0
1875,Magnetism,Magnet,1
1876,Electromagnetic radiation,Wavelength,0
1877,Potential energy,Coulomb,0
1878,Amplitude,Electromagnetic radiation,0
1879,Physics,Absorption spectroscopy,0
1880,Geometrical optics,Light,1
1881,Force,Newton's law of universal gravitation,0
1882,Plasticity (physics),Fracture,0
1883,Plane mirror,Real image,0
1884,Speed,Hertz,0
1885,Motion,Shock wave,0
1886,Electric field,Gravitational field,0
1887,Force,Gravitational constant,0
1888,Fatigue (material),Elasticity (physics),1
1889,Photoelectric effect,Wavelength,0
1890,Elastic collision,Relative velocity,1
1891,Physics,Mechanical energy,0
1892,Stiffness,Creep (deformation),0
1893,Elasticity (physics),Displacement (vector),0
1894,Amplitude,Sound intensity,0
1895,Hooke's law,Potential energy,0
1896,Electron,Doppler effect,0
1897,Electric field,Field line,0
1898,Geometrical optics,Refraction,0
1899,Snell's law,Physics,1
1900,Force,Newton's laws of motion,0
1901,Wavelength,Physics,1
1902,Electric field,Metre,0
1903,Electromotive force,Electric current,1
1904,Total internal reflection,Angle of incidence,1
1905,Gravity of Earth,Gravitational acceleration,0
1906,Standing wave,Laser,0
1907,Telescope,Dispersion (optics),0
1908,Emission spectrum,Electric field,1
1909,Friction,Electrical resistance and conductance,0
1910,Energy,Coulomb,0
1911,Electric potential energy,Physics,1
1912,Physics,Power (physics),0
1913,Diffraction,Plane mirror,0
1914,Motion,Kinetic energy,0
1915,Physics,Intensity (physics),0
1916,Electromagnetic radiation,Scattering,0
1917,Speed,Force,0
1918,Hooke's law,Displacement (vector),0
1919,Snell's law,Distance,1
1920,Real image,Optical microscope,0
1921,Electric current,Electrical conductor,0
1922,Electric current,Field (physics),0
1923,Snell's law,Angle of incidence,1
1924,Mechanical energy,Force,1
1925,Work (physics),Euclidean vector,1
1926,Stiffness,Length,0
1927,Mass,Frequency,0
1928,Position (vector),Length,0
1929,Mass,Equations of motion,0
1930,Contact force,Physics,1
1931,Le Sage's theory of gravitation,Coulomb,0
1932,Dispersion (optics),Color,1
1933,Standing wave,Wave,1
1934,Magnet,Magnetic field,0
1935,Force,Collision,0
1936,Energy,Inelastic collision,0
1937,Temperature,Fatigue (material),0
1938,Relative velocity,Doppler effect,0
1939,Curved mirror,Plane mirror,0
1940,Physics,Refracting telescope,0
1941,Physics,Scattering,0
1942,Acceleration,Mass,0
1943,Gravitational acceleration,Mass,1
1944,Capacitance,Dielectric,0
1945,Specular reflection,Reflection (physics),1
1946,Energy,Metre,0
1947,Mechanical energy,Energy level,0
1948,Dielectric,Field (physics),1
1949,Voltage,Capacitance,0
1950,Electromotive force,Coulomb's law,1
1951,Lever,Physics,1
1952,Motion graphs and derivatives,Velocity,1
1953,Interference (wave propagation),Wavelength,1
1954,Electric potential,Physics,1
1955,Electromagnetic spectrum,Light,1
1956,Stiffness,Force,1
1957,Mass,Le Sage's theory of gravitation,0
1958,Magnetic field,Length,0
1959,Voltage,Series and parallel circuits,0
1960,Physics,Velocity,0
1961,Magnetic field,Work (physics),0
