,topic_a,topic_b,relation
1594,Rational number,Division (mathematics),0
1595,Square root,Mathematics,1
1596,Square matrix,Imaginary number,0
1597,Slope,Mathematics,1
1598,Function (mathematics),Natural logarithm,0
1599,Prime number,Fundamental theorem of algebra,0
1600,Logarithm,Binary logarithm,0
1601,Parity (mathematics),Scientific notation,0
1602,Synthetic division,Polynomial,1
1603,Product (mathematics),Multiplication,1
1604,Point (geometry),Right triangle,0
1605,Arithmetic,Binomial theorem,0
1606,Identity matrix,Square matrix,1
1607,Formula,Mathematics,1
1608,Law of sines,Mathematics,1
1609,Scalar multiplication,Mathematics,1
1610,Angle,Right triangle,0
1611,Exponential function,Degree of a polynomial,0
1612,Complex number,Nth root,0
1613,Negative number,Number,1
1614,Square root,Complex number,0
1615,Function (mathematics),Cubic function,0
1616,Number,Natural number,0
1617,Cartesian coordinate system,Coordinate system,1
1618,Geometry,Rotation (mathematics),0
1619,Scalar multiplication,Matrix (mathematics),0
1620,Complex number,Quadratic equation,0
1621,Graph of a function,Slope,0
1622,Rational function,Polynomial long division,0
1623,Domain of a function,Zero of a function,0
1624,Geometry,Plane curve,0
1625,Scalar multiplication,Vector space,1
1626,Quadratic function,Function (mathematics),1
1627,Law of sines,Trigonometry,1
1628,Transformation (function),Hyperbola,0
1629,Focus (geometry),Conic section,0
1630,Polygon,Triangle,0
1631,Number,Empty set,0
1632,Division by zero,Arithmetic,1
1633,Addition,Scientific notation,0
1634,Number,Floor and ceiling functions,0
1635,Rational number,Binary logarithm,0
1636,Exponential function,Sine,0
1637,Exponentiation,Nth root,0
1638,Partial fraction decomposition,Rational function,0
1639,Floor and ceiling functions,Scientific notation,0
1640,Multiplicative inverse,Arithmetic,1
1641,Mathematics,List of mathematical symbols,0
1642,Function (mathematics),Linear inequality,0
1643,Piecewise,Interval (mathematics),0
1644,Extended real number line,Real number,1
1645,Complex plane,Mathematics,1
1646,Line (geometry),Mathematics,1
1647,Geometry,Vector field,0
1648,Binomial theorem,Binomial,1
1649,Determinant,Square matrix,1
1650,Union (set theory),Closed set,0
1651,Addition,Fundamental theorem of algebra,0
1652,Curve,Geometry,1
1653,Equality (mathematics),Quadratic equation,0
1654,Vertical line test,Graph of a function,1
1655,Coordinate system,Polar coordinate system,0
1656,Line–line intersection,Mathematics,1
1657,Arithmetic,Product topology,0
1658,Inverse trigonometric functions,Trigonometric functions,1
1659,Square root,Degree of a polynomial,0
1660,Cartesian coordinate system,Analytic geometry,0
1661,Equality (mathematics),Equation solving,0
1662,Chord (geometry),Geometry,1
1663,Arithmetic,Multiplication,0
1664,Matrix (mathematics),Elementary matrix,0
1665,Number,Product topology,0
1666,Factorization,Mathematics,1
1667,Inverse trigonometric functions,Multiplicative inverse,0
1668,Binomial coefficient,Integer,1
1669,Square matrix,Matrix (mathematics),1
1670,Algebra,Fundamental theorem of algebra,0
1671,Square matrix,Square (algebra),0
1672,Algebra,Square (algebra),0
1673,Ellipse,Mathematics,1
1674,Linear equation,System of linear equations,0
1675,Line segment,Mathematics,1
1676,Arithmetic,Natural logarithm,0
1677,Complex number,Domain of a function,0
1678,Integer,Division (mathematics),0
1679,Coordinate system,Change of variables,0
1680,Ellipse,Geometry,1
1681,Image (mathematics),Function (mathematics),1
1682,Basis (linear algebra),Number,1
1683,Geometry,Ellipse,0
1684,Polynomial long division,Graph of a function,0
1685,Mathematics,Inequality (mathematics),0
1686,Number,Rotation of axes,0
1687,Sign (mathematics),Algebra,0
1688,Equation,Number,1
1689,Circular motion,Curve,1
1690,Parity (mathematics),Mathematics,1
1691,Rationalisation (mathematics),Complex number,0
1692,Function (mathematics),Multiplicative inverse,0
1693,Determinant,Vector field,0
1694,Number,Equation,0
1695,Line (geometry),Law of sines,0
1696,Mathematics,Secant line,0
1697,Exponentiation,Logarithm,0
1698,Geometry,Asymptote,0
1699,Geometry,Complex plane,0
1700,Symmetry,Mathematics,0
1701,Base (exponentiation),Exponentiation,1
1702,Rectangle,Angle,1
1703,Vector (mathematics and physics),Vector space,0
1704,Maxima and minima,Injective function,0
1705,Function composition,Domain of a function,0
1706,Graph of a function,Mathematics,1
1707,Vertical line test,Domain of a function,0
1708,Circle,Pythagorean theorem,0
1709,Binary logarithm,Multiplication,1
1710,Multiplication,Partial fraction decomposition,0
1711,Fundamental theorem of algebra,Complex number,1
1712,Equation,Simultaneous equations,0
1713,Pythagorean trigonometric identity,Trigonometry,1
1714,Union (set theory),Integer,0
1715,Multiplication,Subtraction,0
1716,Mathematics,Plane curve,0
1717,Analytic geometry,Equation,1
1718,Complex number,Interval (mathematics),0
1719,Slope,Analytic geometry,0
1720,Elementary matrix,Main diagonal,1
1721,Graph of a function,Analytic geometry,0
1722,Number,Descartes' rule of signs,0
1723,Negative number,Real number,0
1724,Addition,Subtraction,0
1725,Exponentiation,Unit circle,0
1726,Law of sines,Polygon,1
1727,Linear function,Linear inequality,0
1728,Line (geometry),Vector field,0
1729,Polynomial long division,Mathematics,1
1730,Floor and ceiling functions,Number,1
1731,Geometry,Coordinate system,0
1732,Unit circle,Geometry,1
1733,Coordinate system,Analytic geometry,0
1734,Addition,Real number,0
1735,Scalar (mathematics),Scalar multiplication,0
1736,Mathematics,Quadratic function,0
1737,Work (physics),Force,1
1738,Mathematics,Extended real number line,0
1739,Multiplication,Distributive property,0
1740,Scalar multiplication,Work (physics),0
1741,Polynomial,Quadratic function,0
1742,Integer,Homogeneous polynomial,0
1743,Area,Cone,0
1744,Dot product,Number,1
1745,Mathematics,Mathematical induction,0
1746,Polygon,Geometry,1
1747,Point (geometry),Triangle,0
1748,Integer,Nth root,0
1749,Quadratic formula,Number,1
1750,Logarithm,Function (mathematics),0
1751,List of mathematical symbols,Mathematics,1
1752,Equality (mathematics),Inequality (mathematics),0
1753,Focus (geometry),Geometry,1
1754,Vertical line test,Line (geometry),1
1755,Line (geometry),Curve,0
1756,Exponentiation,Complex number,0
1757,Sine,Identity (mathematics),0
1758,Quadratic function,Quadratic equation,0
1759,Equality (mathematics),Linear inequality,0
1760,Curve,Circular motion,0
1761,Cone,Line (geometry),1
1762,Vector field,Vector (mathematics and physics),1
1763,Multiplication,Factorization,0
1764,Origin (mathematics),Point (geometry),1
1765,Multiplication,Exponential function,0
1766,Mathematics,Equation,0
1767,Multiplication,Arithmetic,1
1768,Geometry,Right triangle,0
1769,Displacement (vector),Force,0
1770,Curve,Circle,0
1771,Sum,Number,1
1772,Square matrix,Determinant,0
1773,Pythagorean theorem,Analytic geometry,0
1774,Function (mathematics),Graph of a function,0
1775,Domain of a function,Function (mathematics),1
1776,Arithmetic mean,Arithmetic,1
1777,Logarithm,Multiplication,1
1778,Floor and ceiling functions,Mathematics,1
1779,Mathematics,Division (mathematics),0
1780,Zero of a function,Function (mathematics),1
1781,Polynomial,Synthetic division,0
1782,Geometry,Solution of triangles,0
1783,Semi-major axis,Focus (geometry),0
1784,Triangle,Line (geometry),1
1785,Natural logarithm,Number,1
1786,Mathematics,Focus (geometry),0
1787,Inverse trigonometric functions,Domain of a function,0
1788,Exponential function,Number,1
1789,Edge,Point (geometry),1
1790,Minor (linear algebra),Determinant,1
1791,Complex number,Pythagorean theorem,0
1792,Mathematics,Binomial,0
1793,Line segment,Focus (geometry),0
1794,Cubic function,Mathematics,1
1795,Polynomial,Algebraic expression,0
1796,Natural number,Geometry,0
1797,Exponential function,Slope,0
1798,Piecewise,Maxima and minima,0
1799,Binomial theorem,Number,1
1800,Line (geometry),Slope,0
1801,Number,Division (mathematics),0
1802,Function composition,Natural number,0
1803,Empty set,Set (mathematics),1
1804,Interval (mathematics),Multiplicative inverse,0
1805,Real number,Empty set,0
1806,Line (geometry),System of linear equations,0
1807,Cartesian coordinate system,Plane (geometry),1
1808,Open set,Rational number,0
1809,Arithmetic,Fundamental theorem of algebra,0
1810,Product topology,Multiplication,1
1811,Arithmetic,Scalar multiplication,0
1812,Fundamental theorem of algebra,Polynomial,1
1813,Summation,Addition,1
1814,Geometry,Focus (geometry),0
1815,Cone,Eccentricity (mathematics),0
1816,Vector space,Scalar multiplication,0
1817,Sum,Mathematics,1
1818,Unit circle,Inverse trigonometric functions,0
1819,Mathematics,Algebraic operation,0
1820,Mathematics,Solution of triangles,0
1821,Eccentricity (mathematics),Mathematics,1
1822,System of linear equations,Number,1
1823,Division (mathematics),Binary logarithm,0
1824,Simultaneous equations,Equation,1
1825,Descartes' rule of signs,Mathematics,1
1826,Fundamental theorem of algebra,Multiplication,1
1827,Mathematics,Trigonometry,0
1828,Subtraction,Division (mathematics),0
1829,Algebra,Basis (linear algebra),0
1830,Sine,Real number,0
1831,Multiplication,Product topology,0
1832,Equality (mathematics),Parametric equation,0
1833,Matrix ring,Arithmetic,1
1834,Plane curve,Mathematics,1
1835,Multiplication,Even and odd functions,0
1836,Right triangle,Triangle,1
1837,Circle,Circular sector,0
1838,Perpendicular,Mathematics,1
1839,Open set,Real line,0
1840,Rotation of axes,Coordinate system,1
1841,Rectangle,Geometry,1
1842,Eccentricity (mathematics),Geometry,1
1843,Even and odd functions,Domain of a function,0
1844,Exponential growth,Common logarithm,0
1845,Polynomial,Slope,0
1846,Arithmetic,Polynomial long division,0
1847,Coordinate system,Circle,0
1848,Mathematics,Spherical law of cosines,0
1849,Exponential function,Function (mathematics),1
1850,Integer,Quadratic formula,0
1851,Partial fraction decomposition,Polynomial,1
1852,Quadratic equation,Degree of a polynomial,0
1853,Addition,Synthetic division,0
1854,Trigonometry,Trigonometric functions,0
1855,Arithmetic,Binomial,0
1856,Elementary matrix,Square matrix,1
1857,Line–line intersection,Geometry,1
1858,Number,Complex number,0
1859,Function (mathematics),Linear function,0
1860,Quadratic equation,Equation,1
1861,Mathematics,Expression (mathematics),0
1862,Line segment,Chord (geometry),0
1863,Secant line,Mathematics,1
1864,Mathematics,Fundamental theorem of algebra,0
1865,Floor and ceiling functions,Mathematical proof,0
1866,Square root,Number,1
1867,Mereology,Mathematics,1
1868,Polynomial,Rational number,0
1869,Mathematics,Limit of a function,0
1870,Line (geometry),Circular motion,0
1871,Line segment,Law of sines,0
1872,Equality (mathematics),Differential equation,0
1873,Quadratic equation,Sine,0
1874,Mathematics,Basis (linear algebra),0
1875,Logarithm,Integer,0
1876,Equation solving,Nth root,0
1877,Natural logarithm,Exponentiation,1
1878,Complex conjugate,Complex number,1
1879,Inverse trigonometric functions,Function (mathematics),1
1880,Slope,Sine,0
1881,Multiplication,Degree of a polynomial,0
1882,Binomial,Polynomial,1
1883,Multiplication,Binomial theorem,0
1884,Degree (angle),Geometry,1
1885,Polynomial,Division (mathematics),0
1886,Real number,Rational number,0
1887,Limit (mathematics),Calculus,1
1888,Limit of a function,Mathematics,1
1889,Number,Sum,0
1890,Origin (mathematics),Mathematics,1
1891,Multiplication,Fundamental theorem of algebra,0
1892,Real number,System of linear equations,0
1893,Degree of a polynomial,Zero of a function,0
1894,Geometry,Chord (geometry),0
1895,Spherical law of cosines,Perpendicular,0
1896,Line (geometry),Plane curve,0
1897,Addition,Empty sum,0
1898,Linear function,Graph of a function,0
1899,Number,Subtraction,0
1900,Chord (geometry),Line segment,1
1901,Determinant,Matrix (mathematics),1
1902,Number,Complex conjugate,0
1903,Chord (geometry),Circle,1
1904,Product (mathematics),Product topology,0
1905,Inequality (mathematics),Number,1
1906,Factorization,Number,1
1907,Semi-minor axis,Conic section,0
1908,Rational number,Set-builder notation,0
1909,Exponential function,Natural logarithm,0
1910,Mathematics,Cone,0
1911,Orientation (geometry),Plane (geometry),1
1912,Set (mathematics),E (mathematical constant),0
1913,Trigonometric substitution,Mathematics,1
1914,Square root,Common logarithm,0
1915,Number,Nth root,0
1916,Function composition,Transformation (function),0
1917,Subtraction,Inequality (mathematics),0
1918,Mathematical induction,Real number,0
1919,Analytic geometry,Line (geometry),1
1920,Multiplication,Real number,0
1921,Real number,Absolute value,0
1922,Division (mathematics),Division by zero,0
1923,Focus (geometry),Mathematics,1
1924,Cone,Circle,1
1925,Complex number,Zero (complex analysis),0
1926,Binary logarithm,Mathematics,1
1927,Exponentiation,Multiplication,1
1928,Law of sines,Angle,1
1929,Division (mathematics),Mathematics,1
1930,Factorization,Real number,0
1931,Real number,Analytic geometry,0
1932,Number,Rational root theorem,0
1933,Line (geometry),Circular sector,0
1934,Mathematics,Slope,0
1935,Circular sector,Polygon,0
1936,Circular sector,Circle,1
1937,Solution of triangles,Geometry,1
1938,Homogeneous polynomial,Number,1
1939,Unit circle,Equation,0
1940,Mathematics,Mathematical analysis,0
1941,Mathematics,Equality (mathematics),0
1942,Curve,Sine wave,0
1943,Trigonometric substitution,Trigonometry,1
1944,Addition,Polynomial,0
1945,Multiplication,Natural logarithm,0
1946,Complex number,Negative number,0
1947,Mathematics,Quadrant (plane geometry),0
1948,Mathematics,Binary logarithm,0
1949,Integer,Descartes' rule of signs,0
1950,Complex number,E (mathematical constant),0
1951,Empty sum,Mathematics,1
1952,Arithmetic,Dot product,0
1953,Equation solving,Equation,1
1954,Function (mathematics),Exponential function,0
1955,Binomial coefficient,Arithmetic,1
1956,Descartes' rule of signs,Integer,1
1957,Multiplication,Homogeneous polynomial,0
1958,Fundamental theorem of algebra,Equality (mathematics),1
1959,Pythagorean theorem,Geometry,1
1960,Transformation (function),Mathematics,1
1961,Number,Exponential growth,0
1962,Imaginary number,Complex number,1
1963,Amplitude,Even and odd functions,0
1964,Determinant,Parity (mathematics),0
1965,Circular motion,Line (geometry),1
1966,Exponentiation,Sine,0
1967,Line (geometry),Perpendicular,0
1968,Periodic function,Function (mathematics),1
1969,Point (geometry),Edge,0
1970,Equation,Linear equation,0
1971,Scalar multiplication,Arithmetic,1
1972,Mathematics,Rational function,0
1973,Fundamental theorem of algebra,Algebra,1
1974,Line (geometry),Solution of triangles,0
1975,Real number,Limit of a sequence,0
1976,Perpendicular,Geometry,1
1977,Number,Linear equation,0
1978,Point (geometry),Mathematics,1
1979,Sine,Trigonometry,1
1980,Mathematics,Limit (mathematics),0
1981,Polar coordinate system,Number,1
1982,Angle,Law of sines,0
1983,Equation solving,Real number,0
1984,Rational function,Mathematics,1
1985,Function (mathematics),Continuous function,0
1986,Degree of a polynomial,Arithmetic,1
1987,Quadratic equation,Number,1
1988,Geometry,Distance,0
1989,Subtraction,Real number,0
1990,Cylinder (geometry),Geometry,1
1991,Mathematics,Algebra,0
1992,Series (mathematics),Geometric series,0
1993,Empty sum,Number,1
1994,Addition,Complex number,0
1995,Number,Summation,0
1996,Exponential function,Exponential growth,0
1997,Real number,Real line,0
1998,Binomial coefficient,Mathematics,1
1999,Number,Algebraic equation,0
2000,Interval (mathematics),Inequality (mathematics),0
2001,Mathematics,Point (geometry),0
2002,Linear inequality,Function (mathematics),1
2003,Line (geometry),Focus (geometry),0
2004,Cross product,Product (mathematics),1
2005,Linear inequality,Linear function,1
2006,Mathematics,Equation solving,0
2007,Polynomial long division,Synthetic division,0
2008,Mathematics,Polar coordinate system,0
2009,Mathematics,Binomial theorem,0
2010,Addition,Summation,0
2011,Binomial theorem,Multiplication,1
2012,Conic section,Curve,1
2013,Curve,Plane curve,0
2014,Binomial,Addition,1
2015,Equality,Algebra,0
2016,Triangle,Line segment,1
2017,Partial fraction decomposition,Addition,1
2018,Trigonometric functions,Trigonometry,1
2019,Vector (mathematics and physics),Scalar (mathematics),0
2020,Plane (geometry),Analytic geometry,0
2021,Mathematics,Square (algebra),0
2022,Mathematical analysis,Mathematics,1
2023,Polynomial long division,Integer,1
2024,Summation,Number,1
2025,Mathematical proof,Mathematical induction,0
2026,Arithmetic,Summation,0
2027,Pythagorean trigonometric identity,Geometry,1
2028,Arithmetic,Logarithm,0
2029,Mathematics,Plane (geometry),0
2030,Vector (mathematics and physics),Norm (mathematics),0
2031,Geometric series,Mathematics,1
2032,Binomial,Summation,0
2033,Real number,Imaginary number,0
2034,Logarithm,Exponentiation,1
2035,Logarithm,Arithmetic,1
2036,Length,Geometry,0
2037,Mathematics,Addition,0
2038,Number,Logarithm,0
2039,Set (mathematics),Distributive property,0
2040,Rationalisation (mathematics),Square root,0
2041,Integer,Distributive property,0
2042,Integer,Binary logarithm,0
2043,Polynomial,Function composition,0
2044,Common logarithm,Number,1
2045,Partial fraction decomposition,Synthetic division,0
2046,Descartes' rule of signs,Multiplication,1
2047,Division (mathematics),Multiplicative inverse,0
2048,Limit (mathematics),Mathematics,1
2049,Analytic geometry,Perpendicular,1
2050,Sine,Inverse trigonometric functions,0
2051,Quadratic equation,Rational number,0
2052,Function composition,Interval (mathematics),0
2053,Summation,Arithmetic,1
2054,Equation,Zero of a function,0
2055,Polynomial,Natural number,0
2056,Mathematics,Polynomial long division,0
2057,Multiplication,Minor (linear algebra),0
2058,Trigonometric substitution,Geometry,1
2059,Homogeneous polynomial,Integer,1
